OrderDate;Year;Month;YearMonth;Quarter;YearQtr;Week
12/29/2012;2012;Dec;dec-2012;Q4;2012-Q4;52
4/4/2013;2013;Apr;apr-2013;Q2;2013-Q2;14
11/17/2012;2012;Nov;nov-2012;Q4;2012-Q4;46
2/16/2011;2011;Feb;feb-2011;Q1;2011-Q1;7
5/11/2013;2013;May;mei-2013;Q2;2013-Q2;19
1/12/2011;2011;Jan;jan-2011;Q1;2011-Q1;2
1/24/2011;2011;Jan;jan-2011;Q1;2011-Q1;4
1/31/2011;2011;Jan;jan-2011;Q1;2011-Q1;5
1/27/2011;2011;Jan;jan-2011;Q1;2011-Q1;4
1/13/2011;2011;Jan;jan-2011;Q1;2011-Q1;2
1/29/2011;2011;Jan;jan-2011;Q1;2011-Q1;4
10/27/2012;2012;Oct;okt-2012;Q4;2012-Q4;43
10/21/2012;2012;Oct;okt-2012;Q4;2012-Q4;42
12/12/2012;2012;Dec;dec-2012;Q4;2012-Q4;50
10/29/2011;2011;Oct;okt-2011;Q4;2011-Q4;43
1/28/2011;2011;Jan;jan-2011;Q1;2011-Q1;4
9/25/2012;2012;Sep;sep-2012;Q3;2012-Q3;39
9/20/2012;2012;Sep;sep-2012;Q3;2012-Q3;38
9/4/2012;2012;Sep;sep-2012;Q3;2012-Q3;36
1/30/2013;2013;Jan;jan-2013;Q1;2013-Q1;5
8/8/2011;2011;Aug;aug-2011;Q3;2011-Q3;32
10/30/2012;2012;Oct;okt-2012;Q4;2012-Q4;44
2/28/2013;2013;Feb;feb-2013;Q1;2013-Q1;9
12/1/2011;2011;Dec;dec-2011;Q4;2011-Q4;48
10/21/2011;2011;Oct;okt-2011;Q4;2011-Q4;42
10/8/2011;2011;Oct;okt-2011;Q4;2011-Q4;40
11/1/2011;2011;Nov;nov-2011;Q4;2011-Q4;44
9/5/2011;2011;Sep;sep-2011;Q3;2011-Q3;36
7/29/2011;2011;Jul;jul-2011;Q3;2011-Q3;30
2/21/2011;2011;Feb;feb-2011;Q1;2011-Q1;8
3/7/2013;2013;Mar;mrt-2013;Q1;2013-Q1;10
10/31/2012;2012;Oct;okt-2012;Q4;2012-Q4;44
