GeoKey;Latitude;Longitude
GermanyHamburgBonn53001;53.551085;9.993682
GermanyHamburgFrankfurt am Main60082;53.551085;9.993682
GermanyHamburgMühlheim63151;53.572426;10.039762
GermanyHamburgPaderborn33041;51.7189205;8.7575093
GermanyHessenDresden01071;51.28742;14.84772
GermanySaarlandFrankfurt am Main60061;49.4659584;7.1471349
GermanySaarlandFrankfurt am Main60075;49.4659584;7.1471349
GermanySaarlandKiel24044;54.3232927;10.1227652
GermanySaarlandPoing66041;48.1716114;11.8064153
GermanySaarlandStuttgart70452;49.3708;6.72295
GermanySaarlandStuttgart70511;49.3708;6.72295
United KingdomEnglandBerkshireRG11 5TP;51.4659863;-1.2814014
AustraliaNew South WalesLane Cove1597;-33.8145564;151.1698948
AustraliaNew South WalesCoffs Harbour2450;-30.285487;153.131308
AustraliaNew South WalesDarlinghurst2010;-33.879825;151.21956
AustraliaNew South WalesGoulburn2580;-34.75535;149.717816
AustraliaNew South WalesLavender Bay2060;-33.84307;151.208015
AustraliaNew South WalesMalabar2036;-33.965376;151.245969
AustraliaNew South WalesMatraville2036;-33.957549;151.230846
AustraliaNew South WalesMilsons Point2061;-33.847526;151.211568
AustraliaNew South WalesNewcastle2300;-32.926357;151.78122
AustraliaNew South WalesNorth Ryde2113;-33.79677;151.124355
AustraliaNew South WalesNorth Sydney2055;-33.86865;151.216484
AustraliaNew South WalesPort Macquarie2444;-31.434259;152.908481
AustraliaNew South WalesRhodes2138;-33.830764;151.088105
AustraliaNew South WalesSilverwater2264;-33.101384;151.56199
AustraliaNew South WalesSpringwood2777;-33.700645;150.55875
AustraliaNew South WalesSt. Leonards2065;-33.823248;151.195504
AustraliaNew South WalesSydney1002;-33.86865;151.216484
AustraliaNew South WalesWollongong2500;-34.425878;150.899818
AustraliaQueenslandBrisbane4000;-27.46758;153.027892
AustraliaQueenslandCaloundra4551;-26.804636;153.130349
AustraliaQueenslandEast Brisbane4169;-27.479652;153.045983
AustraliaQueenslandGold Coast4217;-27.9836052;153.3977354
AustraliaQueenslandHawthorne4171;-27.462031;153.060373
AustraliaQueenslandHervey Bay4655;-25.2852778;152.8727778
AustraliaQueenslandRockhampton4700;-23.378941;150.512323
AustraliaQueenslandTownsville4810;-19.258106;146.818351
AustraliaSouth AustraliaCloverdale6105;-31.963644;115.934344
AustraliaSouth AustraliaFindon5023;-34.90548;138.532561
AustraliaSouth AustraliaPerth6006;-31.925306;115.853655
AustraliaTasmaniaHobart7001;-42.836111;147.510278
AustraliaVictoriaBendigo3550;-36.755513;144.284263
AustraliaVictoriaCranbourne3977;-38.11122;145.268832
AustraliaVictoriaGeelong3220;-38.14729;144.360735
AustraliaVictoriaMelbourne3000;-37.8133386;144.9708234
AustraliaVictoriaMelton3337;-37.683206;144.58315
AustraliaVictoriaSeaford3198;-38.102679;145.126482
AustraliaVictoriaSouth Melbourne3205;-37.830236;144.959304
AustraliaVictoriaSunbury3429;-37.576859;144.731425
AustraliaVictoriaWarrnambool3280;-38.383313;142.482959
CanadaAlbertaCalgaryT2P 2G8;51.098106;-114.0349934
CanadaAlbertaEdmontonT5;53.525283;-113.525612
CanadaBritish ColumbiaBurnabyV3J 6Z3;49.2581338;-122.8627441
CanadaBritish ColumbiaBurnabyV5A 3A6;49.2553316;-122.9378263
CanadaBritish ColumbiaBurnabyV5A 4X1;49.2599284;-122.9153695
CanadaBritish ColumbiaBurnabyV5G 4S4;49.2547819;-123.0015691
CanadaBritish ColumbiaBurnabyV5G 4W1;49.2505439;-122.9927971
CanadaBritish ColumbiaBurnabyV5H 3Z7;49.2327876;-123.0226601
CanadaBritish ColumbiaCliffsideV8Y 1L1;48.5204624;-123.3691694
CanadaBritish ColumbiaHaneyV2W 1W2;49.216982;-122.622868
CanadaBritish ColumbiaLangfordV9;48.4476145;-123.4959354
CanadaBritish ColumbiaLangleyV3A 4R2;49.1072662;-122.6778118
CanadaBritish ColumbiaMetchosinV9;50.685754;-127.38342
CanadaBritish ColumbiaN. VancouverV7L 4J4;49.3119239;-123.0783834
CanadaBritish ColumbiaNewtonV2L3W8;53.8537181;-122.7642351
CanadaBritish ColumbiaNewtonV2M1N7;53.9156122;-122.7685866
CanadaBritish ColumbiaNewtonV2M1P1;53.9152206;-122.772976
CanadaBritish ColumbiaNewtonV2M1S6;53.9106262;-122.7699244
CanadaBritish ColumbiaOak BayV8P;48.4599139;-123.3423413
CanadaBritish ColumbiaPort HammondV6B 3P7;49.2804482;-123.1145576
CanadaBritish ColumbiaRichmondV6B 3P7;49.2804482;-123.1145576
CanadaBritish ColumbiaRoyal OakV8X;48.489153;-123.398673
CanadaBritish ColumbiaShawneeV8Z 4N5;48.4949142;-123.3896105
CanadaBritish ColumbiaShawneeV9B 2C3;48.4400647;-123.4838456
CanadaBritish ColumbiaShawneeV9B 5T2;48.44902;-123.4982593
CanadaBritish ColumbiaSookeV0;49.250654;-124.075343
CanadaBritish ColumbiaSurreyV3T 4W3;49.1964699;-122.8446311
CanadaBritish ColumbiaVancouverV7L 4J4;49.3119239;-123.0783834
CanadaBritish ColumbiaVictoriaV8V;48.4153294;-123.3671972
CanadaBritish ColumbiaWestminsterV3L 1E7;49.2070705;-122.906299
CanadaBritish ColumbiaWestminsterV3L 1H4;49.2087305;-122.9058188
CanadaBrunswickSaint JohnE2P 1E3;45.2800269;-66.053214
CanadaManitobaWinnipegR3;49.8054027;-97.1327373
CanadaOntarioAuroraL4G 7N6;44.0023399;-79.4438418
CanadaOntarioBarrieL4N;44.3812;-79.686998
CanadaOntarioBramptonL6W 2T7;43.6813548;-79.7417401
CanadaOntarioChalk RiberK0J 1J0;45.9328092;-77.3870086
CanadaOntarioEtobicokeM9W 3P3;43.7248371;-79.550685
CanadaOntarioKanataK2L 1H5;45.2967343;-75.8799028
CanadaOntarioKingston7L;44.2475806;-76.5004377
CanadaOntarioMarkhamL3S 3K2;43.843245;-79.3025411
CanadaOntarioMississaugaL4W 5J3;43.6572167;-79.613362
CanadaOntarioMississaugaL5A 1H6;43.5852106;-79.5881735
CanadaOntarioMississaugaL5B 3V4;43.5804569;-79.6401225
CanadaOntarioNepeanK2J 2W5;45.270419;-75.7550385
CanadaOntarioOttawaK4B 1S1;45.3713325;-75.2784863
CanadaOntarioOttawaK4B 1S2;45.3775357;-75.266333
CanadaOntarioOttawaK4B 1S3;45.364601;-75.2957574
CanadaOntarioOttawaK4B 1T7;45.3690909;-75.2934005
CanadaOntarioRichmond HillL4E 3M5;43.9124665;-79.4457759
CanadaOntarioTorontoM4B 1V4;43.7104698;-79.3005159
CanadaOntarioTorontoM4B 1V5;43.7109632;-79.3002518
CanadaOntarioTorontoM4B 1V6;43.7111256;-79.2980505
CanadaOntarioTorontoM4B 1V7;43.7114384;-79.2982266
CanadaOntarioVancouverV5T 1Y9;49.2459909;-123.1051154
CanadaOntarioWaterlooN2V;43.4854945;-80.5743969
CanadaOntarioWestonM9V 4W3;43.7009889;-79.5197
CanadaQuebecBrossardJ4Z 1C5;45.4811285;-73.45779
CanadaQuebecBrossardJ4Z 1R4;45.4737325;-73.4537982
CanadaQuebecDorvalH9P 1H1;45.4635547;-73.727945
CanadaQuebecHull8Y;48.2027951;-79.0262299
CanadaQuebecMontrealH1Y 2H3;45.5522776;-73.5798294
CanadaQuebecMontrealH1Y 2H5;45.5532054;-73.5825313
CanadaQuebecMontrealH1Y 2H7;45.553768;-73.5842956
CanadaQuebecMontrealH1Y 2H8;45.5550067;-73.5885958
CanadaQuebecOutremontH1Y 2G5;45.549265;-73.569658
CanadaQuebecPnot-RougeJ1E 2T7;45.4152929;-71.8747581
CanadaQuebecQuebecG1R;46.8051462;-71.2167236
CanadaQuebecSainte-FoyG1W;46.7578355;-71.2923023
CanadaQuebecSilleryG1T;46.7725103;-71.2606511
"CanadaQuebecVille De'anjouJ1G 2R3";45.607036;-73.558368
FranceCharente-MaritimeSaint Ouen17490;45.8704398;-0.1633108
FranceEssonneLes Ulis91940;48.6828383;2.1691962
FranceEssonneMorangis91420;48.7005202;2.3372223
FranceEssonneVerrieres Le Buisson91370;48.752441;2.2519797
FranceGaronne (Haute)Colomiers31770;43.6155066;1.3228229
FranceHauts de SeineBoulogne-Billancourt92100;48.833209;2.2359802
FranceHauts de SeineColombes92700;48.9237226;2.2431251
FranceHauts de SeineCourbevoie92400;48.9008079;2.2553567
FranceHauts de SeineParis La Defense92081;48.896926;2.227209
FranceHauts de SeineSèvres92310;48.8211329;2.2098332
FranceHauts de SeineSuresnes92150;48.8712834;2.21935
FranceLoir et CherSaint Ouen41100;47.8101124;1.0815936
FranceLoiretOrleans45000;47.9108329;1.9157977
FranceMoselleMetz57000;49.0730759;6.1845174
FranceNordCroix59170;50.6758613;3.1492001
FranceNordDunkerque59140;51.0460018;2.3579275
FranceNordLille59000;50.6138111;3.0423599
FranceNordRoncq59223;50.7468588;3.1176207
FranceNordRoubaix59100;50.6930818;3.1845673
"FranceNordVilleneuve-d'Ascq59491";50.6551537;3.1468771
FrancePas de CalaisBoulogne-sur-Mer62200;50.7254413;1.6063458
FranceSeine (Paris)Paris75002;48.8675641;2.34399
FranceSeine (Paris)Paris75003;48.8634799;2.3591145
FranceSeine (Paris)Paris75005;48.8434912;2.3518339
FranceSeine (Paris)Paris75006;48.8488576;2.3354223
FranceSeine (Paris)Paris75007;48.8543345;2.3134029
FranceSeine (Paris)Paris75008;48.8718722;2.3176432
FranceSeine (Paris)Paris75009;48.8729788;2.3270909
FranceSeine (Paris)Paris75010;48.8785618;2.3603689
FranceSeine (Paris)Paris75012;48.8293647;2.4265406
FranceSeine (Paris)Paris75013;48.830759;2.359204
FranceSeine (Paris)Paris75016;48.8530933;2.2487626
FranceSeine (Paris)Paris75017;48.891986;2.319287
