ProductID;ProductName;Product;ProductNumber;MakeFlag;FinishedGoodsFlag;Color;SafetyStockLevel;ReorderPoint;StandardCost;ListPrice;Size;SizeUnitMeasureCode;WeightUnitMeasureCode;Weight;DaysToManufacture;ProductLine;Class;Style;ProductSubcategoryID;ProductModelID;SellStartDate;SellEndDate;DiscontinuedDate
782;Mountain-200 Black, 38;BK-M68B-38 : Mountain-200 Black, 38;BK-M68B-38;1;1;Black;100;75;1251.9813;2294.99;38;CM;LB;23.35;4;M;H;U;1;20;7/1/2002 12:00:00 AM;;
775;Mountain-100 Black, 38;BK-M82B-38 : Mountain-100 Black, 38;BK-M82B-38;1;1;Black;100;75;1898.0944;3374.99;38;CM;LB;20.35;4;M;H;U;1;19;7/1/2001 12:00:00 AM;6/30/2002 12:00:00 AM;
783;Mountain-200 Black, 42;BK-M68B-42 : Mountain-200 Black, 42;BK-M68B-42;1;1;Black;100;75;1251.9813;2294.99;42;CM;LB;23.77;4;M;H;U;1;20;7/1/2002 12:00:00 AM;;
776;Mountain-100 Black, 42;BK-M82B-42 : Mountain-100 Black, 42;BK-M82B-42;1;1;Black;100;75;1898.0944;3374.99;42;CM;LB;20.77;4;M;H;U;1;19;7/1/2001 12:00:00 AM;6/30/2002 12:00:00 AM;
777;Mountain-100 Black, 44;BK-M82B-44 : Mountain-100 Black, 44;BK-M82B-44;1;1;Black;100;75;1898.0944;3374.99;44;CM;LB;21.13;4;M;H;U;1;19;7/1/2001 12:00:00 AM;6/30/2002 12:00:00 AM;
793;Road-250 Black, 44;BK-R89B-44 : Road-250 Black, 44;BK-R89B-44;1;1;Black;100;75;1554.9479;2443.35;44;CM;LB;14.77;4;R;H;U;2;26;7/1/2002 12:00:00 AM;;
784;Mountain-200 Black, 46;BK-M68B-46 : Mountain-200 Black, 46;BK-M68B-46;1;1;Black;100;75;1251.9813;2294.99;46;CM;LB;24.13;4;M;H;U;1;20;7/1/2002 12:00:00 AM;;
778;Mountain-100 Black, 48;BK-M82B-48 : Mountain-100 Black, 48;BK-M82B-48;1;1;Black;100;75;1898.0944;3374.99;48;CM;LB;21.42;4;M;H;U;1;19;7/1/2001 12:00:00 AM;6/30/2002 12:00:00 AM;
794;Road-250 Black, 48;BK-R89B-48 : Road-250 Black, 48;BK-R89B-48;1;1;Black;100;75;1554.9479;2443.35;48;CM;LB;15.13;4;R;H;U;2;26;7/1/2002 12:00:00 AM;;
795;Road-250 Black, 52;BK-R89B-52 : Road-250 Black, 52;BK-R89B-52;1;1;Black;100;75;1554.9479;2443.35;52;CM;LB;15.42;4;R;H;U;2;26;7/1/2002 12:00:00 AM;;
796;Road-250 Black, 58;BK-R89B-58 : Road-250 Black, 58;BK-R89B-58;1;1;Black;100;75;1554.9479;2443.35;58;CM;LB;15.68;4;R;H;U;2;26;7/1/2002 12:00:00 AM;;
966;Touring-1000 Blue, 46;BK-T79U-46 : Touring-1000 Blue, 46;BK-T79U-46;1;1;Blue;100;75;1481.9379;2384.07;46;CM;LB;25.13;4;T;H;U;3;34;7/1/2003 12:00:00 AM;;
967;Touring-1000 Blue, 50;BK-T79U-50 : Touring-1000 Blue, 50;BK-T79U-50;1;1;Blue;100;75;1481.9379;2384.07;50;CM;LB;25.42;4;T;H;U;3;34;7/1/2003 12:00:00 AM;;
968;Touring-1000 Blue, 54;BK-T79U-54 : Touring-1000 Blue, 54;BK-T79U-54;1;1;Blue;100;75;1481.9379;2384.07;54;CM;LB;25.68;4;T;H;U;3;34;7/1/2003 12:00:00 AM;;
969;Touring-1000 Blue, 60;BK-T79U-60 : Touring-1000 Blue, 60;BK-T79U-60;1;1;Blue;100;75;1481.9379;2384.07;60;CM;LB;25.90;4;T;H;U;3;34;7/1/2003 12:00:00 AM;;
789;Road-250 Red, 44;BK-R89R-44 : Road-250 Red, 44;BK-R89R-44;1;1;Red;100;75;1518.7864;2443.35;44;CM;LB;14.77;4;R;H;U;2;26;7/1/2002 12:00:00 AM;6/30/2003 12:00:00 AM;
750;Road-150 Red, 44;BK-R93R-44 : Road-150 Red, 44;BK-R93R-44;1;1;Red;100;75;2171.2942;3578.27;44;CM;LB;13.77;4;R;H;U;2;25;7/1/2001 12:00:00 AM;6/30/2002 12:00:00 AM;
